,City,Cloudiness (%),Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
0,"Avarua, CK",75,74,-21.21,-159.78,84.2,8.05
1,"Yarada, IN",8,100,17.65,83.27,81.18,4.97
2,"Mahebourg, MU",40,88,-20.41,57.7,78.8,4.7
3,"Atuona, PF",80,99,-9.8,-139.03,82.17,19.51
4,"Cabo San Lucas, MX",5,64,22.89,-109.91,75.45,9.17
5,"Kabinda, CD",80,94,-6.14,24.49,67.05,2.84
6,"Mahmudabad, IN",0,76,27.3,81.13,55.4,4.41
7,"Inta, RU",48,63,66.04,60.13,-8.29,2.73
8,"Hay River, CA",40,51,60.82,-115.79,35.6,11.41
9,"Lewisporte, CA",90,86,49.25,-55.06,28.4,26.4
10,"Bichena, ET",8,86,10.45,38.2,50.58,1.72
11,"Falun, SE",48,73,60.61,15.63,32.0,16.11
12,"Hithadhoo, MV",92,98,-0.6,73.08,85.23,9.78
13,"Chokurdakh, RU",8,62,70.62,147.9,-20.8,4.18
14,"Kapaa, US",90,94,22.08,-159.32,73.56,20.8
15,"Bandundu, CD",92,100,-3.32,17.38,70.02,7.43
16,"Bambous Virieux, MU",40,88,-20.34,57.76,78.8,4.7
17,"Carnarvon, AU",0,57,-24.87,113.63,89.82,10.0
18,"Novomalorossiyskaya, RU",68,78,45.63,39.89,47.79,17.49
19,"Rancho Palos Verdes, US",90,62,33.75,-118.37,57.85,11.41
20,"Saldanha, ZA",0,82,-33.01,17.94,60.8,11.41
21,"Port Hardy, CA",20,76,50.7,-127.42,48.2,10.29
22,"Pilar, PH",0,54,17.42,120.6,86.31,3.74
23,"Santa Fe, CU",20,78,23.13,-82.26,73.4,3.36
24,"Bredasdorp, ZA",0,88,-34.53,20.04,66.2,3.36
25,"Bethel, US",90,97,60.79,-161.76,32.0,14.99
26,"Manado, ID",20,66,1.49,124.85,86.0,5.82
27,"Qaanaaq, GL",0,88,77.48,-69.36,-20.62,8.66
28,"Waingapu, ID",0,77,-9.65,120.26,86.04,4.18
29,"Hermanus, ZA",80,92,-34.42,19.24,59.22,2.73
30,"Rapar, IN",0,42,23.57,70.65,71.73,9.66
31,"Albany, AU",56,73,-35.02,117.88,68.58,4.63
32,"Geraldton, CA",20,30,49.72,-86.95,12.2,3.36
33,"Rikitea, PF",76,100,-23.12,-134.97,80.55,15.59
34,"Butaritari, KI",32,100,3.07,172.79,82.53,7.65
35,"Svetlogorsk, RU",0,65,53.14,59.15,5.0,11.18
36,"Lebu, CL",0,100,-37.62,-73.65,59.22,19.84
37,"Rovinj, HR",75,86,45.08,13.64,39.25,19.46
38,"Luganville, VU",64,98,-15.51,167.18,83.43,9.89
39,"Mago, RU",24,49,53.27,140.15,12.24,8.43
40,"Yuanping, CN",44,95,38.72,112.71,41.76,3.29
41,"Souillac, MU",40,88,-20.52,57.52,78.8,4.7
42,"Flinders, AU",0,19,-34.58,150.85,80.6,9.17
43,"Beloha, MG",20,86,-25.17,45.06,73.8,12.46
44,"Hasaki, JP",75,59,35.73,140.83,58.53,17.22
45,"Busselton, AU",0,95,-33.64,115.35,70.83,13.02
46,"Sao Joao da Barra, BR",8,100,-21.64,-41.05,79.56,13.02
47,"Port Alfred, ZA",0,92,-33.59,26.89,67.23,18.05
48,"Isangel, VU",64,100,-19.55,169.27,79.92,12.01
49,"Maiduguri, NG",0,38,11.84,13.15,66.42,5.41
50,"Omboue, GA",80,100,-1.57,9.26,82.35,6.76
51,"Hobart, AU",75,59,-42.88,147.33,62.6,24.16
52,"Bluff, NZ",44,75,-46.6,168.33,67.68,21.85
53,"North Myrtle Beach, US",1,76,33.83,-78.68,53.6,3.36
54,"Norman Wells, CA",90,92,65.28,-126.83,15.8,8.05
55,"Belaya Gora, RU",8,56,68.54,146.19,-19.09,3.74
56,"Tashtyp, RU",48,93,52.8,89.89,27.45,2.73
57,"Petropavlovsk-Kamchatskiy, RU",20,41,53.05,158.65,23.0,15.66
58,"Kirakira, SB",92,100,-10.46,161.92,79.56,3.85
59,"Sinnamary, GF",92,100,5.38,-52.96,77.31,8.55
60,"Jacareacanga, BR",64,94,-6.22,-57.76,75.6,1.16
61,"Duluth, US",90,86,46.77,-92.13,29.91,20.8
62,"Senador Jose Porfirio, BR",80,100,-2.59,-51.95,75.69,0.38
63,"Sorong, ID",20,100,-0.86,131.25,83.34,7.43
64,"Ushuaia, AR",75,93,-54.81,-68.31,35.6,20.8
65,"Ancud, CL",92,97,-41.87,-73.83,53.82,4.97
66,"Nakamura, JP",75,76,35.17,136.87,53.49,9.17
67,"Barrow, US",1,86,39.51,-90.4,42.26,5.3
68,"Carauari, BR",12,98,-4.88,-66.9,73.71,1.95
69,"Homer, US",90,70,59.64,-151.54,41.85,8.05
70,"Artyom, AZ",0,87,40.47,50.33,50.0,20.8
71,"Cape Town, ZA",20,88,-33.93,18.42,62.6,13.87
72,"Gizo, SB",12,100,-8.1,156.84,84.51,5.41
73,"Tomatlan, MX",24,67,19.93,-105.25,70.74,0.94
74,"Punta Arenas, CL",40,60,-53.16,-70.91,41.0,11.41
75,"Puerto Ayora, EC",68,100,-0.74,-90.35,78.03,2.84
76,"Faanui, PF",68,100,-16.48,-151.75,82.44,15.14
77,"Palmer, US",90,93,61.6,-149.11,37.99,2.39
78,"Kefalos, GR",20,87,36.75,26.96,59.0,7.99
79,"Portland, AU",0,43,-33.35,149.98,76.77,4.74
80,"Upernavik, GL",48,96,72.79,-56.15,2.7,19.06
81,"Rocha, UY",56,92,-34.48,-54.34,60.48,18.72
82,"Xiuyan, CN",0,43,40.29,123.27,49.86,12.68
83,"Gunjur, GM",5,53,13.18,-16.76,75.2,9.17
84,"Koumac, NC",48,72,-20.56,164.28,82.98,3.74
85,"Nikolskoye, RU",75,74,59.7,30.79,30.2,8.95
86,"Vaini, TO",20,66,-21.2,-175.2,86.0,8.05
87,"Madaoua, NE",0,56,14.07,5.96,66.06,2.51
88,"Narsaq, GL",88,33,60.91,-46.05,46.4,50.55
89,"Pisco, PE",0,83,-13.71,-76.2,69.8,16.11
90,"Labuhan, ID",20,81,-2.54,115.51,82.8,2.39
91,"Nicoya, CR",0,54,10.15,-85.45,84.2,14.99
92,"Severo-Kurilsk, RU",56,100,50.68,156.12,27.09,6.53
93,"Barcelos, BR",88,83,-0.97,-62.93,79.29,5.64
94,"Marienburg, SR",40,83,5.88,-55.04,77.0,5.82
95,"Coachella, US",1,12,33.68,-116.18,67.62,3.36
96,"Dingle, IE",0,100,52.14,-10.27,36.36,20.07
97,"Podosinovets, RU",80,73,60.28,47.06,7.92,11.45
98,"Tekari, IN",0,62,24.94,84.84,59.0,9.17
99,"Necochea, AR",0,87,-38.55,-58.74,58.05,12.8
100,"Caravelas, BR",0,100,-17.73,-39.27,82.08,13.69
101,"Calderara di Reno, IT",75,100,44.56,11.27,31.24,8.05
102,"Parana, BR",40,88,-7.52,-72.89,75.2,2.39
103,"Beaufort, US",40,82,32.43,-80.67,60.28,12.75
104,"East London, ZA",0,100,-33.02,27.91,71.01,17.83
105,"Kodiak, US",90,81,39.95,-94.76,42.8,9.17
106,"Gudari, IN",0,43,19.34,83.79,82.89,1.83
107,"Sandovo, RU",80,92,58.46,36.41,24.75,13.8
108,"Villa Union, MX",5,34,23.2,-106.23,80.6,12.75
109,"Matagami, CA",90,71,49.76,-77.63,3.2,13.87
110,"Peniche, PT",20,87,39.36,-9.38,50.0,6.93
111,"Jamestown, SH",68,100,-15.94,-5.72,74.79,14.58
112,"San Cristobal, EC",92,100,-1.02,-79.44,61.83,0.94
113,"Sao Gabriel da Cachoeira, BR",0,92,-0.13,-67.09,77.85,1.95
114,"Muros, ES",75,93,42.77,-9.06,42.8,3.36
115,"Skjervoy, NO",44,100,70.03,20.97,31.77,25.88
116,"Ostrovnoy, RU",88,85,68.05,39.51,19.62,7.2
117,"Saskylakh, RU",48,76,71.97,114.09,-17.38,18.84
118,"Saint-Philippe, RE",0,61,-21.36,55.77,79.65,5.82
119,"Arraial do Cabo, BR",0,96,-22.97,-42.02,77.67,14.03
120,"Grindavik, IS",75,93,63.84,-22.43,42.8,10.29
121,"Bilma, NE",0,31,18.69,12.92,58.41,4.07
122,"Yellowknife, CA",40,62,62.45,-114.38,23.0,9.17
123,"Galashki, RU",48,75,43.1,44.99,41.04,2.84
124,"Saint George, BM",40,77,32.38,-64.68,64.4,24.16
125,"Salina, US",90,100,36.29,-95.15,53.71,3.36
126,"Poum, NC",0,100,-20.23,164.02,80.01,19.73
127,"Hilo, US",40,65,19.71,-155.08,71.49,10.29
128,"Hun, LY",0,35,29.13,15.95,46.62,2.95
129,"Anadyr, RU",0,84,64.73,177.51,6.8,2.24
130,"Ribeira Grande, PT",88,98,38.52,-28.7,63.0,13.91
131,"Guaiba, BR",40,74,-30.11,-51.33,82.4,4.7
132,"Khatanga, RU",64,75,71.98,102.47,-7.21,2.95
133,"Dodge City, US",90,54,37.75,-100.02,53.6,16.11
134,"Provideniya, RU",12,100,64.42,-173.23,29.79,14.14
135,"Kadaya, RU",48,36,50.93,119.29,27.63,4.85
136,"Sept-Iles, CA",20,44,50.2,-66.38,17.6,12.75
137,"Alice Springs, AU",0,24,-23.7,133.88,82.4,13.87
138,"Iroquois Falls, CA",5,35,48.76,-80.69,10.4,5.82
139,"Qostanay, KZ",90,100,53.17,63.58,32.0,26.84
140,"Kushchevskaya, RU",88,91,46.56,39.64,32.58,20.74
141,"Coracora, PE",56,100,-15.02,-73.78,41.13,1.61
142,"Namibe, AO",92,100,-15.19,12.15,76.86,4.97
143,"Shemonaikha, KZ",8,72,50.63,81.92,17.1,2.73
144,"Kaitangata, NZ",44,53,-46.28,169.85,76.23,15.37
145,"Manuk Mangkaw, PH",8,100,4.8,119.85,84.6,1.05
146,"Springbok, ZA",0,76,-29.67,17.88,41.49,2.62
147,"Dawlatabad, AF",92,94,36.41,64.91,50.85,5.97
148,"Lagoa, PT",75,87,37.14,-8.45,50.0,3.36
149,"Vadso, NO",12,85,70.07,29.75,14.99,2.24
150,"Pithoro, PK",24,50,25.52,69.38,69.21,3.96
151,"Pacific Grove, US",1,71,36.62,-121.92,53.6,4.7
152,"Naze, JP",75,88,28.37,129.48,69.8,14.99
153,"Victoria, SC",20,83,-4.62,55.45,80.6,1.12
154,"Kortkeros, RU",0,83,61.81,51.56,-9.41,6.71
155,"Kehra, EE",90,69,59.34,25.33,33.8,18.34
156,"Baijiantan, CN",12,90,45.63,85.18,36.72,5.41
157,"Lima, PE",0,85,-12.06,-77.04,58.95,1.83
158,"Dikson, RU",68,100,73.51,80.55,-9.91,26.33
159,"La Ronge, CA",75,61,55.1,-105.3,15.8,4.7
160,"Mehamn, NO",8,74,71.03,27.85,16.65,9.78
161,"Orocue, CO",48,47,4.79,-71.34,84.69,5.41
162,"Okhotsk, RU",80,85,59.36,143.24,18.27,6.2
163,"Katsuura, JP",75,93,33.93,134.5,54.03,3.36
164,"Las Choapas, MX",40,58,17.91,-94.09,84.2,5.97
165,"Baturaja, ID",48,100,-4.12,104.17,79.47,4.52
166,"Ferrol, ES",20,76,43.48,-8.23,45.21,10.29
167,"Beringovskiy, RU",80,100,63.05,179.32,9.72,22.41
168,"Thompson, CA",20,35,55.74,-97.86,8.6,3.36
169,"Jinan, CN",20,73,36.65,117.11,46.98,11.34
170,"Sungaipenuh, ID",76,91,-2.08,101.38,72.27,2.39
171,"Shimanovsk, RU",8,32,52.0,127.67,15.21,10.45
172,"Neiafu, TO",40,70,-18.65,-173.98,84.2,9.17
173,"Coquimbo, CL",0,82,-29.95,-71.34,59.0,2.24
174,"Morondava, MG",20,100,-20.3,44.28,75.87,3.62
175,"Luba, GQ",20,78,3.46,8.55,78.8,6.93
176,"Mount Gambier, AU",92,70,-37.83,140.78,67.41,11.45
177,"New Norfolk, AU",75,59,-42.78,147.06,62.6,24.16
178,"Touros, BR",100,82,-5.2,-35.46,81.27,8.55
179,"Charters Towers, AU",8,82,-20.07,146.27,83.97,9.33
180,"Inhambane, MZ",0,100,-23.87,35.38,72.36,9.33
181,"Blackwater, AU",20,54,-23.58,148.88,88.38,7.76
182,"Libertador General San Martin, AR",75,77,-23.81,-64.79,69.8,18.34
183,"Findlay, US",1,48,41.04,-83.65,44.26,4.7
184,"Surt, LY",0,79,31.21,16.59,60.3,10.67
185,"Ormara, PK",8,95,25.21,64.64,71.64,3.96
186,"Kasama, ZM",76,94,-10.21,31.19,60.93,2.62
187,"Ciudad Bolivar, VE",0,46,8.12,-63.55,81.99,14.92
188,"Katherine, AU",8,66,-14.47,132.26,86.0,5.82
189,"Sitka, US",88,95,37.17,-99.65,52.02,15.37
190,"Pangnirtung, CA",68,76,66.15,-65.72,4.95,4.97
191,"Castro, CL",92,99,-42.48,-73.76,52.56,4.85
192,"Ukiah, US",1,43,39.15,-123.21,55.4,6.93
193,"Westport, IE",12,92,53.8,-9.52,32.49,12.46
194,"Ano Mera, GR",44,82,37.45,25.4,58.14,8.05
195,"Campbell River, CA",20,53,50.02,-125.24,50.56,5.82
196,"Esperance, AU",68,86,-33.86,121.89,68.49,4.97
197,"Tuktoyaktuk, CA",75,83,69.44,-133.03,-11.21,11.41
198,"Cananeia, BR",0,100,-25.01,-47.93,77.13,11.01
199,"Gibara, CU",20,78,21.11,-76.13,75.2,9.17
200,"Katobu, ID",0,76,-4.94,122.53,88.65,4.41
201,"Haines Junction, CA",0,94,60.75,-137.51,23.4,2.06
202,"Qaqortoq, GL",92,33,60.72,-46.03,46.4,50.55
203,"Minot, US",40,80,48.23,-101.3,31.86,9.17
204,"Longyearbyen, SJ",20,65,78.22,15.64,5.0,21.92
205,"Zhuzhou, CN",90,93,27.84,113.15,46.4,15.66
206,"Lebanon, US",1,31,43.64,-72.25,18.34,8.05
207,"Nueva Loja, EC",12,97,0.08,-76.88,72.99,1.72
208,"Mugango, TZ",24,100,-1.69,33.7,67.5,3.62
209,"Yulara, AU",0,23,-25.24,130.99,84.2,16.11
210,"Hazorasp, UZ",0,87,41.32,61.08,44.6,4.7
211,"Alofi, NU",36,66,-19.06,-169.92,86.0,6.93
212,"Kurumkan, RU",0,71,54.33,110.32,19.44,2.17
213,"Luderitz, NA",8,87,-26.65,15.16,59.0,9.17
214,"Gien, FR",76,92,47.69,2.63,30.33,2.73
215,"Ballina, IE",8,89,54.11,-9.15,30.42,11.34
216,"Kapit, MY",68,89,2.02,112.94,79.02,2.28
217,"Havoysund, NO",40,73,71.0,24.66,24.8,9.17
218,"Choix, MX",8,39,26.71,-108.33,64.26,2.39
219,"Georgetown, SH",80,100,-7.93,-14.42,78.21,9.66
220,"Carnarvon, ZA",0,69,-30.97,22.13,44.1,4.18
221,"Luanda, AO",75,88,-8.83,13.24,78.8,4.7
222,"Moron, MN",64,49,47.38,110.32,37.8,5.53
223,"Ilhabela, BR",0,100,-23.78,-45.36,78.93,13.69
224,"Hamilton, BM",40,77,32.3,-64.78,64.4,24.16
225,"Ocampo, MX",36,28,27.32,-102.4,61.2,3.74
226,"Maragogi, BR",80,95,-9.01,-35.22,75.06,4.74
227,"Shipitsyno, RU",88,80,61.28,46.52,11.7,18.72
228,"Zadar, HR",40,70,44.12,15.24,44.6,13.87
229,"Vila Velha, BR",20,78,-3.71,-38.6,82.4,6.93
230,"Port Elizabeth, ZA",0,82,-33.92,25.57,64.4,25.28
231,"Cayenne, GF",75,94,4.94,-52.33,77.0,5.75
232,"Chuy, UY",80,94,-33.69,-53.46,64.44,19.84
233,"Verkh-Chebula, RU",0,75,56.03,87.61,24.39,2.95
234,"Pachino, IT",100,100,36.72,15.09,55.89,19.28
235,"Kalmar, SE",0,79,56.66,16.36,23.0,6.93
236,"Sadsadan, PH",0,68,16.9,120.88,80.1,2.73
237,"Cherskiy, RU",20,67,68.75,161.3,-4.42,10.0
238,"Alta, NO",90,92,69.97,23.27,22.06,11.68
239,"Lashio, MM",0,73,22.93,97.75,71.64,2.62
240,"Mar del Plata, AR",0,54,-46.43,-67.52,59.67,26.22
241,"Tasiilaq, GL",92,86,65.61,-37.64,33.8,25.28
242,"Keratea, GR",20,62,37.81,23.98,52.63,3.36
243,"Monopoli, IT",20,81,40.95,17.3,52.75,8.05
244,"Canchungo, GW",0,80,12.07,-16.03,73.62,9.44
245,"Najran, SA",0,25,17.54,44.22,64.4,2.95
246,"Riyadh, SA",0,25,24.63,46.72,60.8,2.24
247,"Komsomolskiy, RU",24,67,67.55,63.78,-15.49,7.2
248,"San Matias, BO",8,81,-16.36,-58.4,79.29,4.74
249,"Prince Rupert, CA",75,81,54.32,-130.32,46.4,6.93
250,"Fershampenuaz, RU",0,77,53.52,59.82,8.37,20.85
251,"Lazaro Cardenas, MX",75,12,28.39,-105.62,73.4,9.17
252,"College, US",90,86,64.86,-147.8,31.66,1.61
253,"Byron Bay, AU",40,69,-28.65,153.62,82.4,10.29
254,"Coihaique, CL",90,58,-45.58,-72.07,53.6,8.05
255,"Vestmannaeyjar, IS",88,97,63.44,-20.27,42.3,11.01
256,"Shaki, NG",12,92,7.9,4.77,72.45,8.32
257,"Anan, JP",75,93,33.91,134.64,53.91,3.36
258,"Sens, FR",40,92,48.2,3.28,29.32,1.12
259,"Amapa, BR",32,98,-1.83,-56.23,74.61,2.51
260,"San Patricio, MX",40,83,19.22,-104.7,77.0,5.82
261,"Shumikha, RU",64,78,55.23,63.28,12.33,26.55
262,"Richards Bay, ZA",0,94,-28.77,32.06,65.97,6.87
263,"Kavaratti, IN",0,100,10.57,72.64,82.17,8.21
264,"Purpe, RU",88,92,64.48,76.69,13.41,15.48
265,"Geraldton, AU",0,20,-28.77,114.6,84.2,24.16
266,"Luang Prabang, LA",68,90,19.89,102.14,68.94,2.39
267,"Bathsheba, BB",40,78,13.22,-59.52,77.0,12.75
268,"Saint-Augustin, CA",20,33,45.63,-73.98,17.06,3.36
269,"Aswan, EG",0,13,24.09,32.9,69.8,3.36
270,"Xapuri, BR",20,90,-10.65,-68.5,76.5,1.61
271,"Zemio, CF",20,93,5.02,25.13,71.82,6.31
272,"Ciechocinek, PL",0,73,52.88,18.79,19.4,8.05
273,"Devils Lake, US",90,77,48.11,-98.87,32.94,9.17
274,"Kavieng, PG",80,100,-2.57,150.8,82.44,11.01
275,"Talnakh, RU",48,80,69.49,88.39,-1.54,14.36
276,"Palomares, MX",0,56,17.14,-95.06,81.9,14.25
277,"Bubaque, GW",0,100,11.28,-15.83,76.59,11.12
278,"Kruisfontein, ZA",68,93,-34.0,24.73,65.7,19.51
279,"Oranjemund, NA",92,96,-28.55,16.43,61.47,19.84
280,"Nanortalik, GL",20,86,60.14,-45.24,34.92,48.47
281,"Torbay, CA",90,86,47.66,-52.73,30.2,27.51
282,"Elizabeth City, US",1,80,36.3,-76.22,42.28,4.18
283,"Samarai, PG",88,100,-10.62,150.67,77.4,7.2
284,"Novobureyskiy, RU",8,46,49.8,129.88,16.47,13.8
285,"Mareeba, AU",75,70,-16.99,145.42,84.2,13.87
286,"Verkhnyaya Inta, RU",36,61,65.99,60.32,-7.66,2.73
287,"Namatanai, PG",48,100,-3.66,152.44,82.89,16.71
288,"Hirara, JP",20,78,24.8,125.28,75.2,10.29
289,"Uspenka, RU",92,92,47.73,38.7,19.62,18.84
290,"Sohag, EG",0,67,26.55,31.7,55.89,3.96
291,"Nzerekore, GN",92,96,7.76,-8.82,69.93,3.18
292,"Chagoda, RU",80,89,59.16,35.33,25.38,11.68
293,"Ponta do Sol, CV",20,100,17.2,-25.09,70.02,19.73
294,"Saint-Pierre, PM",36,100,46.77,-56.17,30.6,33.26
295,"Moncton, CA",75,52,46.1,-64.8,17.6,12.75
296,"Meulaboh, ID",68,100,4.14,96.13,81.27,3.18
297,"Fortuna, US",90,70,40.6,-124.16,50.47,3.36
